<<<<<<< HEAD
shp3**,Nan,2024-12-05,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,53kg,상의 55,여름에 갈색 구매 이후로 깔별로 세장이나 더 샀어요. 부유방 가려주는데 짱짱ㅜㅜ💛,상의 ,55
TJjcZIhY,Nan,2024-11-27,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,45kg,상의 44,아이보리보다 흰색에 가까워요! 상세페이지에서도 흰색으로 보여서 흰색으로 생각하고 구매했습니다. 쫀쫀하고 비치지 않아서 잘 입고 다녔어요.,상의 ,44
VB8XR8qy,Nan,2024-11-26,그레이,,정사이즈예요,보통이에요,화면과 비슷해요,163cm,54kg,상의 66,이너로 입으면 반팔티같은 그런 나시 찾고 있었는데 너무 마음에 들어요. 너무 조이지도 않아서 손이 많이 가요!! 다른 컬로도 구매했어여,상의 ,66
kR4DkRNl,Nan,2024-10-21,그레이,,정사이즈예요,보통이에요,화면과 비슷해요,162cm,55kg,상의 55,"리뷰대로 짱짱하니 좋네유 다만 흉통이 큰 55인 저로서는 딱 맞아요. 가슴이 있으신분들도 딱 맞을거같아요. 이너로 입으면 딱인 옷입니다.
참고하셔요~",상의 ,55
tmdd******,Nan,2024-10-20,블루네이비,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,42kg,상의 44,"편하고 두께감도 적당해서 한여름만 아니면 여름, 봄에 입기 좋은 것 같아요",상의 ,44
pJU7nnOe,Nan,2024-10-06,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,47kg,상의 44,일단 엄청 편해요!!! 핏도 이쁘고 부유방도 잘 가려줘서 좋아요!!,상의 ,44
iXzvIRqL,Nan,2024-10-05,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,156cm,57kg,상의 66,엄청 쫀쫀하고 군살 싹 잡아주는... 부유방 가려져서 넘 좋아요! 자주 손 가는템이고 담에 깔별로 살까도 고민중입니당,상의 ,66
8GYMW8T7,Nan,2024-09-27,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,169cm,55kg,상의 55,셔츠 안에 받쳐입으려고 샀는데 두께도 적당하고 핏도 예쁘고 넘 맘에들어요,상의 ,55
JvJDibqw,Nan,2024-09-19,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,166cm,52kg,상의 44,회색사고 만족해서 카키랑 아이보리도 샀어요 생각보다 탄탄해서 좋아요,상의 ,44
kWL2VK3a,Nan,2024-09-17,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,52kg,상의 55,얇지도 않고 쫀쫀하게 늘어나서 좋아요. 이너로도 단독으로도 잘 입을 수 있을 것 같아서 좋습니다. 자주 입을 것 같아요.,상의 ,55
lymYdv7R,Nan,2024-09-14,소프트라임,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,43kg,상의 44,여름동안 색깔별로 돌려입기 딱이에요 비치고 흐늘한 재질 아니고 쫀쫀하니 좋아요,상의 ,44
SagvKwhw,Nan,2024-09-13,크림베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,43kg,상의 44,"깔끔하고 예쁜 핏 
색감도 부드럽고 예뻐서 손이 자주 가는듯",상의 ,44
L4jiWvww,Nan,2024-09-11,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,67kg,상의 77,몸매 자체를 예쁘게 잡아주고 더운 날 이너로 입으면 너무 좋을 것 같습니다. 다만 제가 상체에 살이 많아 단독으로 입기엔 살짝 무리가 있을 것 같아요. 하지만 이너로 잘 입을 것 같습니다!,상의 ,77
9sYd0Rud,Nan,2024-09-11,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,47kg,상의 44,골지소재라서 그런지 빨래 돌려도 늘어남없이 쫀쫀해서 좋아요~,상의 ,44
NahB6Fwu,Nan,2024-09-09,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,165cm,55kg,상의 66,핏 너무 예쁘고 부유방 다 가려줘서 좋고 여리여리하고 재질도 쫀쫀해서 너무 좋아용,상의 ,66
뚜탄뚜이,Nan,2024-09-09,그레이,,정사이즈예요,보통이에요,화면과 비슷해요,169cm,56kg,상의 55,집에서 입으랴고 구매함 어깨 넓으면 애매하게 부유방 끼임 근데 가성비 좋고 편하게 입기 좋습니다,상의 ,55
zGeuRlYZ,Nan,2024-09-07,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,158cm,50kg,,재질도 부드럽고 쫀쫀해서 입었을때 생각했던 예쁜 핏이라 너무 마음에 들어요,,
luYIzhX5,Nan,2024-12-08,뮤트카키,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,50kg,상의 55,짱짱하고 완전 정핏이에요 올 여름-가을 정말 잘 입었습니다 😄 내년에도 하나 더 장만할 거 에요!!,상의 ,55
LoigB1t1,Nan,2024-10-25,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,나시 엄청 쫀쫀하네요! 목이 좀 답답하긴 하지만 퀄리티 좋아요,,
ZcAKmUIE,Nan,2024-10-17,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,166cm,54kg,상의 55,제품 퀄리티가 좋아요 !! 소재가 탄탄한 느낌입니다,상의 ,55
csIwnpKr,Nan,2024-10-09,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,156cm,40kg,상의 44,사이즈도 적당하고 편하고 핏도 예쁘고 촉감도 부들부들합니다,상의 ,44
TEPdKnyF,Nan,2024-09-29,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,159cm,50kg,상의 44,"검정색 사고 추가로 구매했어요~~
검정색보단 손이 안가지만 기본템으로 적당합니다!!",상의 ,44
7oXRzYrw,Nan,2024-09-29,크림베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,54kg,,"입으면 뭔가 탄탄마름느낌..? 뭔가 건강한 사람같은 느낌..?
암튼 퀄도 좋고 다 좋아요!",,
sSBA1oHp,Nan,2024-09-27,소프트라임,,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,53kg,상의 55,실제 색상은 이 사진보다 더 어두운데 사진이 이상하게 찍혔네요ㅠ 기대했던 것보다 훨씬 더 만족스럽습니다! 색상 너무 예뻐요!!,상의 ,55
s8BDxVkj,Nan,2024-09-18,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,55kg,상의 55,이너/단독으로 모두 다 활용가능하고 크게 안파여서 유교걸한테 맞춤입니다ㅎ,상의 ,55
VXpqwMlI,Nan,2024-09-13,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,159cm,50kg,,"재질 짱짱하고 좋습니다!! 생각한 거 보다 비쳐서
안에 입을 이너 색깔 잘 생각해서 입으세용!",,
yNeNYzHq,Nan,2024-09-13,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,170cm,56kg,상의 66,부유방 잘 가려주고 편하고 무엇보다 가을 딥인 저에게 완전 찰떡 컬러입니당ㅎㅎ,상의 ,66
wH2ANSpV,Nan,2024-09-11,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,158cm,58kg,상의 55,배송빨라요쫀쫀해요 면이 좋아여 핏좋아요 재구매의사,상의 ,55
jgQAdsVY,Nan,2024-09-06,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,잘 받았습니디 입어보니 쫀쫀하고 좋네요 이너로도 단독으로도 좋은 것 같아요 잘 입을 수 있을 것 같습니다. 아주 좋아요융,,
rQXQRVbL,상위 10%,2024-09-05,크림베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,64kg,상의 66,딱 맞고 들뜸없어서 좋아요!! 색깔도 제가 생각했던 대로라 맘에 듭니다 다른색상 구매의향 있습니다 ㅎㅎㅎ 잘 입고 또 주문할게요!,상의 ,66
kimc*****,상위 30%,2024-12-08,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,51kg,상의 55,"쫀쫀해서 좋습니다
세탁해도 변형 없고
이너로 입기 부담 없습니당",상의 ,55
spn1sNFy,Nan,2024-12-03,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,48kg,상의 55,기본 나시밖에 없었는데 이런 쫀쫀한 이너나시 있으니까 활용도도 높고 좋네요!,상의 ,55
QcmQfV8L,상위 20%,2024-11-10,블루네이비,,정사이즈예요,아주 만족해요,화면과 비슷해요,156cm,48kg,상의 44,후기가 좋아서 구매했는데 여행가서 잘 입어졌습니다. 재질이 탄탄해서 좋아요.,상의 ,44
TjGXtLO8,Nan,2024-11-09,뮤트카키,,정사이즈예요,아주 만족해요,화면과 비슷해요,154cm,59kg,상의 55,"쫄깃쫄깃,,
부유방을 제대로 잡아줘요!
팔뚝살 없으면 진짜 핏 ㄹㅇㄹㅇ 좋아요",상의 ,55
xjsp77Mm,Nan,2024-10-21,블루네이비,,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,55kg,상의 55,너무 타이트하지도 않고 딱 좋은거같아요~ 색도 이뻐요,상의 ,55
차분하게,상위 25%,2024-10-20,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,57kg,상의 55,심플하고 이쁘네요 데일리로 입기 좋은거같아요 ㅎㅎㅎ,상의 ,55
lBk6jiyd,Nan,2024-10-17,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,155cm,48kg,상의 44,"완전 쫀쫀하고 늘어남 없어서 좋아요
세탁기 몇번 돌렸는데 보풀도 없었어요",상의 ,44
veEfItXo,Nan,2024-10-14,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,47kg,상의 55,"쫀쫀하고 생각보다 퀄리티 좋았어요
다른 색도 쟁여놓고싶을 정도 !",상의 ,55
nAFmByo9,Nan,2024-10-06,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,짱짱해요. 기본템으로 애용할 것 같아요. 한여름엔 더울 것 같네요,,
kuEU2ZY2,Nan,2024-10-05,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,159cm,53kg,상의 55,남방하고 같이 입으려고 샀습니다. 속옷은 진한색 입으면 살짝 비춰서 구매할 때 참고바랍니다. 암홀이 크지 않아서 부유방 잘 잡아주고 넥 부분이 깊지 않아서 유교걸에게 적합합니다,상의 ,55
WyJOP02Z,Nan,2024-10-03,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,165cm,55kg,상의 55,쫀쫀하고 질이 좋아요! 몸매 부각이 심한편 입니다!,상의 ,55
WyJOP02Z,Nan,2024-10-03,소프트라임,,정사이즈예요,보통이에요,화면과 비슷해요,165cm,55kg,상의 55,쫀쫀하고 질이 좋아요! 딱 붙어서 입을때 배에 힘줘야해용ㅎㅎ,상의 ,55
어떤옷을입어야할까나,Nan,2024-10-03,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,57kg,상의 55,딱 몸을 잡아줘서 셔츠랑 맞춰 입기 좋았어요 목이 드러나야 하는 사람은 좀 답답해보이긴 합니다. 목이 긴 사람들 강추,상의 ,55
ZilZ4QgD,상위 25%,2024-10-02,챠콜브라운,,정사이즈예요,보통이에요,화면보다 어두워요,,,,오자마자 입어봤는데 몸매를 확실히 잡아줘서 좋았어여 대신 상체 기신 분들은 조금 짧을것 같아요! 나시 길이 참고 하셔서 구매하세요!!,,
u4uMXyr4,Nan,2024-09-24,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,166cm,47kg,상의 44,나시 핏이나 재질이 너무 좋아요ㅠㅠ 이 가격에 가성비 최고.. 여러장 구입했습니다아,상의 ,44
u4uMXyr4,Nan,2024-09-24,블루네이비,,정사이즈예요,아주 만족해요,화면과 비슷해요,166cm,47kg,상의 44,나시 핏이나 재질이 너무 좋아요ㅠㅠ 이 가격에 가성비 최고.. 여러장 구입했습니다아,상의 ,44
TqQzAGpd,Nan,2024-09-24,크림베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,57kg,상의 66,편하고 좋아요! 가을에도 안에 받쳐입기 좋을것 같아요,상의 ,66
iABSwYdn,Nan,2024-09-22,크림베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,51kg,상의 55,"한번 입어보고 두장 더 샀는데 슬랙스에 입어도 이쁘고 청바지에 입어도 이뻐용 나시는 이 제품밖에 안사입어요 이벤으 같은ㄷ것도 많이 해줬으면 좋겠어요
번창하세요",상의 ,55
4mK1rK0p,Nan,2024-09-16,아이보리,,정사이즈예요,아주 만족해요,화면보다 어두워요,165cm,63kg,상의 77,블랙사고 하나 더 산 거예요. 겨드랑이 쪽 살 다 가려주고 직장에서도편하게,상의 ,77
dev,Nan,2024-09-16,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,56kg,상의 55,가격 너무 좋고 부유방 무조건 가리지만 겨드랑이에 끼지 않는 완전 좋은 나시입니다.. 최고라구옹,상의 ,55
VwzJDr1P,Nan,2024-09-13,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,46kg,상의 44,이번 여름에 정말 휘뚜루마뚜루 잘 입고 다녔어요 겨드랑이 살 나오는 거 걱정했는데 걱정할 필요가 없어요 자연스럽게 가려줘서 너무 좋네오,상의 ,44
anSJ0XcA,Nan,2024-09-12,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,52kg,상의 55,쫀쫀 하고 부유방 잘 가려주고 핏도 예쁩니다 다른 색으로 하나 더 살거에요,상의 ,55
r33HaN8e,Nan,2024-09-12,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,60kg,상의 55,가성비 최고애용 여러번 세탁 건조 막돌렸는데도 안늘어나구 안줄어들고 좋아용,상의 ,55
AbksTc8u,Nan,2024-09-06,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,50kg,상의 55,진짜 쫀쫀한 재질이에요!! 편하게 입기 좋아요! 부유방도 가려줘요ㅎㅎㅎ,상의 ,55
AhYmj91R,Nan,2024-09-06,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,152cm,44kg,상의 44,부유방 아주 잘 가려주고 탄탄한 느낌이 나서 가격 대비 완전 너무 만족합니다!!,상의 ,44
Jy9VjZOe,Nan,2024-12-17,블루네이비,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,48kg,상의 55,시원시원하고 맘에 들어요. 슬로우앤드가 어깨가 좀 크게 나오는 경우가 많았는데 이건 어깨 좁은 저도 딱 맞아서 좋았네요.,상의 ,55
zjw4opzv,Nan,2024-11-25,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,쫀쫀하니 몸매도 잘 잡아주도 퀄리티 좋아요 만족합니다,,
5gvhs9gk,Nan,2024-11-22,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,170cm,64kg,상의 55,아이보리 색 구매해서 닳도록 입고 검정도 구매했습니다 울룩불룩 살도 어느정도 잡아주고 무엇보다 부유방을 잘 잡아줘요🥹🥹,상의 ,55
shin*****,Nan,2024-11-18,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,52kg,,평소 유교걸이라 나시 같은 건 꿈도 못꿨는데 이번에 과감해져보려고 샀읍니다. 부유방 부자라 부유방 커버 되는 점이 너무 좋아요!,,
bhRz5Xwo,Nan,2024-11-17,크림베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,170cm,60kg,상의 66,탄탄한 소재이고 색상과 핏이 마음에들어 다음에 다른 색상도 구매할게요~,상의 ,66
FrBuYAdO,상위 30%,2024-10-28,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,59kg,상의 66,"동남아 여행갈때 셔츠안에 입을려고 구입해서 너무 잘입고 왔어요
겨드랑이 살이 다 가려져요!! 다음달에도 여행가는데 꼭 가져가려구요",상의 ,66
vZlqTsoM,Nan,2024-10-27,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,53kg,상의 55,색상이 너무 이뻐요! 재질도 좋고 편하게 입고다니기 좋아요,상의 ,55
pne9*****,Nan,2024-10-26,크림베이지,,정사이즈예요,보통이에요,화면과 비슷해요,,,,생각보다 딱 맞고 짱짱한편인 것 같아요. 아직 빨아보지 않아서 잘 모르겠지만 첫인상은 만족합니다. 잘 입겠습니다..,,
pne9*****,Nan,2024-10-26,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,생각보다 딱 맞고 짱짱한편인 것 같아요. 아직 빨아보지 않아서 잘 모르겠지만 첫인상은 만족합니다. 잘 입겠습니다..,,
pne9*****,Nan,2024-10-26,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,생각보다 딱 맞고 짱짱한편인 것 같아요. 아직 빨아보지 않아서 잘 모르겠지만 첫인상은 만족합니다. 잘 입겠습니다..,,
N0G33Gsp,Nan,2024-10-17,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,42kg,상의 44,여태까지 이너로 입을려고 산 나시 중에 제일 맘에 들어요 !! 부담스럽지 않게 편하게 입을 수 있어서 앞으로 자주 입을 것 같습니당,상의 ,44
phKtjmAd,Nan,2024-10-14,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,166cm,54kg,상의 55,색깔별로 다 사고싶을 정도로 퀄리티 좋아요 ㅎㅎ 핏도 이쁩니당,상의 ,55
wLB8W3fB,Nan,2024-10-12,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,,,,쫀쫀해서 좋은데 겨드랑이가 쪼여오고 기장이 짧아서 넣입기 불편해여ㅠㅠ,,
mYkisIdj,Nan,2024-09-28,뮤트카키,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,색상 화면이랑 비슷하고 길이도 적당해서 예뻐요,,
E0Rt3nPl,Nan,2024-09-25,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,49kg,상의 55,쫀쫀해서 체형보정이 되요 색상도 화면이랑같아서 좋앗습니다,상의 ,55
JQNKJ5Gs,Nan,2024-09-23,뮤트카키,,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,48kg,상의 55,사진과 동일하고 생각한거보다 훨씬 쫀쫀하고 붙는재질 이었어요! 이너로 입기 너무 예뻐요 ㅎㅎ,상의 ,55
wyfLv4wj,Nan,2024-09-22,뮤트카키,,정사이즈예요,보통이에요,화면과 비슷해요,167cm,52kg,상의 55,색상도 화면과 동일하고 쫀쫀하고 마감도 좋아요,상의 ,55
tjeljksg,Nan,2024-09-22,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,170cm,70kg,상의 66,아주 쫀쫀하고 부유방도 다 가려줍니다! 저한테는 크롭기장이었는데 신경쓰일정도는 아니었어요,상의 ,66
3wkknaDF,Nan,2024-09-21,크림베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,166cm,60kg,상의 55,"겨드랑이 살도 가려주고, 딱 맞는 핏에 원하던 색상입니다",상의 ,55
hB4qbCEv,Nan,2024-09-16,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,163cm,49kg,상의 55,"날씬해보이고 재질도 탄탄하니 좋습니다
배송도 빨라요",상의 ,55
woooo,Nan,2024-09-12,아이보리,,작아요,보통이에요,화면과 비슷해요,166cm,68kg,상의 66,저한테 기장이 좀 짧아서 아쉬운데 질은 탄탄하고 좋은거 같아요,상의 ,66
wH2ANSpV,Nan,2024-09-11,그레이,,정사이즈예요,보통이에요,화면과 비슷해요,158cm,58kg,상의 55,"배송빨라요 예뻐요 면
좋아요 어디에 레이어드해도 멋스러워요",상의 ,55
gpGpWZbP,Nan,2024-09-11,그레이,,정사이즈예요,보통이에요,화면과 비슷해요,159cm,52kg,상의 55,하나 더 샀어요 착용감이 편하고 질이 좋아요 색깔도 똑같습니다,상의 ,55
hZLpp5pX,Nan,2024-09-10,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,58kg,,부유방도 가려주고 핏이 너무 이뻐요 가격대비 퀄리티 좋은 것 같아요.,,
HeH7wUXz,상위 20%,2024-09-08,블루네이비,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,급하게 필요해서 샀는데 배송도 빠르고 제품 퀄리티도 좋아서 만족해요,,
zGeuRlYZ,Nan,2024-09-07,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,50kg,,쫀쫀한 원단에 입었을때 착 감겨서 편안하고도 멋스러워 좋습니다,,
1ZipTh8M,Nan,2025-01-12,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,153cm,130kg 이상,상의 99 이상,이너로 입고 있어요! 탄성이 좋은 느낌은 아니고 탄탄한 천 느낌이 강합니당,상의 ,99
ztWAAkkU,Nan,2024-12-18,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,일단 쫀쫀해서 너무 좋고 여러번 세탁 했는데도 변형이 없어서 만족스러워요,,
lhg9***,Nan,2024-11-10,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,58kg,상의 66,평상시에 편하게 입고 요즘에는 말이추워져서 크롭 맨투맨 처럼 짧은 상의 안에 잘입고 다니고있습니다 편하고 좋아용!,상의 ,66
myli*****,상위 15%,2024-10-11,소프트라임,,정사이즈예요,보통이에요,화면과 비슷해요,164cm,54kg,상의 66,원래 입던 속옷입을수 있어서 편할것같아요. 어깨부분이 조금 더 덮이면 좋겠지만..내 어깨가 넓은지라~원단은 신축성있고 탄탄해요.,상의 ,66
GnPzYojx,Nan,2024-10-03,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,159cm,47kg,상의 55,"부유방을 가려주나 하다가 움직이면 어쩔 수 없이 티나는듯... 
흰색은 얇아서 뭘입어도 안이 보여서 속옷이 점 신경쓰임",상의 ,55
bX9Rh9kl,Nan,2024-09-29,크림베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,이너로 매우 잘 입고 다녀요. 세탁기랑 건조기에 돌려도 쪼그라지지 않고 짱짱해요.,,
7oXRzYrw,Nan,2024-09-29,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,54kg,,"입으면 뭔가 탄탄마름느낌?이에요! 뭔가 날씬하보이는?
퀄도 좋아보입니다!",,
BilHm4Fs,Nan,2024-09-29,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,59kg,상의 55,브이라인 입으면 보이는 곳에 상처가 있어서 상처를 가리는 나시가 필요했는데 너무 잘 맞고 짱짱해서 좋고 행복합니다.,상의 ,55
OK6NZMDT,Nan,2024-09-28,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,50kg,상의 55,몸에 착 잘 맞아서 이너로 입기 좋아요. 색깔별로 또 구매하려고요,상의 ,55
dsXs8MrD,Nan,2024-09-24,블루네이비,,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,47kg,상의 55,"재질이 골지여서 말라보이고 탄탄해요! 여기저기
잘 매치해서 입을 수 있을것같아요ㅎ",상의 ,55
Bzb2tM7X,Nan,2024-09-16,Gray,,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,69kg,상의 88,"This is like your everyday shirt. Very basic but perfect to add to every look. Also, love the quality. I’m just sad that there are no more size options ㅜㅜ",상의 ,88
Bzb2tM7X,Nan,2024-09-16,Ivory,,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,69kg,상의 88,"This is like your everyday shirt. Very basic but perfect to add to every look. Also, love the quality. I’m just sad that there are no more size options ㅜㅜ",상의 ,88
xdLDbZGh,상위 25%,2024-09-11,소프트라임,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,톤에 상관없이 입을 수 있어서 좋아요! 입었을 때 핏 진짜 이뻐요,,
9sYd0Rud,Nan,2024-09-11,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,47kg,상의 44,골지소재라서 그런지 빨래돌려도 늘어남없어서 쫀쫀해요!,상의 ,44
cfPSayeE,Nan,2024-09-10,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,52kg,상의 55,엄마가 나시를 찾아서 구매한건데 너무 맘에 들어하세요 ㅎㅋㅎ목이 답답한 느낌인가 싶기도 하지만 휘뚜루마뚜루 입기 너무 조아요,상의 ,55
cfPSayeE,Nan,2024-09-10,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,52kg,상의 55,엄마가 나시를 찾아서 구매한건데 너무 맘에 들어하세요 ㅎㅋㅎ목이 답답한 느낌인가 싶기도 하지만 휘뚜루마뚜루 입기 너무 조아요,상의 ,55
Bzb2tM7X,Nan,2024-09-16,Ivory,,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,69kg,상의 88,"This is like your everyday shirt. Very basic but perfect to add to every look. Also, love the quality. I’m just sad that there are no more size options ㅜㅜ",상의 ,88
xdLDbZGh,상위 25%,2024-09-11,소프트라임,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,톤에 상관없이 입을 수 있어서 좋아요! 입었을 때 핏 진짜 이뻐요,,
9sYd0Rud,Nan,2024-09-11,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,47kg,상의 44,골지소재라서 그런지 빨래돌려도 늘어남없어서 쫀쫀해요!,상의 ,44
cfPSayeE,Nan,2024-09-10,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,52kg,상의 55,엄마가 나시를 찾아서 구매한건데 너무 맘에 들어하세요 ㅎㅋㅎ목이 답답한 느낌인가 싶기도 하지만 휘뚜루마뚜루 입기 너무 조아요,상의 ,55
cfPSayeE,Nan,2024-09-10,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,52kg,상의 55,엄마가 나시를 찾아서 구매한건데 너무 맘에 들어하세요 ㅎㅋㅎ목이 답답한 느낌인가 싶기도 하지만 휘뚜루마뚜루 입기 너무 조아요,상의 ,55
MFGzF2Ur,상위 30%,2024-12-05,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,158cm,47kg,상의 44,여름~가을 날씨에 입을 이너 나씨를 찾고 있었는데 목도 많이 안 파이고 좋은 거 같습니다,상의 ,44
hi14**,Nan,2024-12-02,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,158cm,52kg,상의 44,쫀쫀하고 이너로 입기 딱 좋고요 입고 체크 셔츠 매치해도 괜찮아요,상의 ,44
MBjwwMZK,Nan,2024-10-25,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,175cm,58kg,상의 55,엄마꺼 대신 구매했는데 너무 만족해하시면서 더 사라고 했으나 직진배송이 안풀려서 결국 여름이 끝나버렸어요.. 내년 여름을 기약하며..,상의 ,55
3uRwXNm8,Nan,2024-10-23,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,157cm,58kg,상의 55,사진은 없지만 검은색 사보고 퀄리티가 좋아서 추가구매하게 됐습니다.,상의 ,55
GrU2QNHt,Nan,2024-10-18,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,급하게 직잭제품 알아보다가 샀는데 부유방도 안보이고 완전 만족해요👍🏻 다른색도 살 것같아요,,
zmm8xq1P,Nan,2024-10-14,소프트라임,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,여름에 엄청 잘 입고 다녔어요 퀄리티도 좋고 색도 맘에 들어요 강추,,
0OGv4w5i,상위 25%,2024-10-13,블랙,,작아요,보통이에요,화면과 비슷해요,165cm,55kg,상의 55,"제 몸이 너무 커졌나 봐요
생각보다 훨씬 짝 맞아서 당황했어요
그래도 여기저기 잘 입고 있어요
다른 색도 구매하려고요!!",상의 ,55
jQ9NVOyk,Nan,2024-10-11,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,50kg,상의 55,더운 나라 놀러가는데 입어보려고 주문했어요! 근데 브레지어가 비치긴 하네요ㅠㅠㅠ 어쩔 수 없지만 그냥 입으려구여..,상의 ,55
